run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
"mrv, lcv, forward_checking",7,0.00156188,30,0,"{10: 1, 12: 2, 19: 2, 18: 4, 13: 0, 22: 5, 3: 1, 5: 1, 6: 2, 26: 3, 15: 2, 4: 0, 11: 0, 28: 5, 9: 3, 25: 5, 17: 3, 8: 2, 21: 5, 2: 1, 29: 3, 27: 1, 1: 0, 7: 0, 14: 1, 24: 6, 0: 0, 23: 0, 20: 4, 16: 4}",TRUE,,,
"mrv, lcv, mac",7,0.00161314,30,0,"{29: 3, 28: 5, 13: 0, 12: 2, 7: 0, 17: 3, 27: 1, 14: 1, 20: 4, 8: 2, 11: 0, 2: 1, 4: 0, 5: 1, 6: 2, 16: 4, 9: 3, 10: 1, 1: 0, 21: 5, 23: 0, 24: 6, 26: 3, 15: 2, 18: 4, 19: 2, 22: 5, 25: 5, 0: 0, 3: 1}",TRUE,,,
"run 1 graph [30,0.3] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.000985126,"first_unassigned_variable, unordered_domain_values, forward_checking",0.000436068,"mrv, lcv, mac",0.00161314,,,,,
"graph [30,0.4]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",6,0.0007689,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",6,0.000478983,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",6,0.001269102,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",6,0.000669956,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
